dialogue_id,turn_index,speaker,utterance,emotion,num_listeners,listeners,relations,speaker_position,prev_speaker,prev_emotion,prev_utterance_len,next_speaker,next_emotion,utterance_len,utterance_word_count,voice_status,suppression_score
1,0,左母,那個憨女人有什麼值得送的，正鵬這個人也真是的！,disgust,1,左父,spouse,peer,,,0,左父,surprise,23,1,neutral,2
1,1,左父,哎喲，老婆子，你怎麼盡講那些不利於團結的話呢！他去送送他的同學也在情理之中嘛！,surprise,1,左母,spouse,peer,左母,disgust,23,左正鵬,neutral,39,1,neutral,2
1,2,左正鵬,爸、媽，我回來啦！,neutral,2,"左父,左母","child,child",inferior,左父,surprise,39,左母,disgust,9,1,suppressed,4
1,3,左母,我怕你喝了迷魂湯，魂被你那個憨同學勾引去了！,disgust,1,左正鵬,parent,superior,左正鵬,neutral,9,左父,surprise,22,1,neutral,2
1,4,左父,老婆子，看你講話像個母親說的嗎！你怎麼老是反對他們倆的事呢？,surprise,1,左母,spouse,peer,左母,disgust,22,左正鵬,neutral,30,1,neutral,2
1,5,左正鵬,爸、媽，你們都不要講了。這件事我自己有主見的，我知道自己該怎麼去做，不應該怎麼不去做。決不會胡來的，請您們放心好了！,neutral,2,"左父,左母","child,child",inferior,左父,surprise,30,,,58,1,suppressed,3
2,0,堂弟,正鵬哥，聽村上人講昨天你娶了個嫂子？,surprise,1,左正鵬,brothers and sisters,peer,,,0,左正鵬,disgust,18,1,neutral,2
2,1,左正鵬,是我的同學來我家玩玩，你不要聽他們亂說，這些人眼光淺，愛說閒話的。,disgust,1,堂弟,brothers and sisters,peer,堂弟,surprise,18,堂弟,neutral,33,1,suppressed,3
2,2,堂弟,正鵬哥，你倆有沒有那意思呀？就是有意思也沒問題吧！你反正遲早要娶媳婦的。,neutral,1,左正鵬,brothers and sisters,peer,左正鵬,disgust,33,左正鵬,neutral,36,1,suppressed,3
2,3,左正鵬,哎呀，堂弟，沒有的。我是那號人嗎？我倆是同學！同學之間只是互相走走的事嘛！,neutral,1,堂弟,brothers and sisters,peer,堂弟,neutral,36,,,37,1,neutral,2
3,0,左正鵬,媽，今天是星期天我想去趕下集，可能下午才能回家，有什麼事就別等我！,neutral,1,左母,child,inferior,,,0,左母,angry,33,1,suppressed,5
3,1,左母,去趕集？你別騙我！你是想去那個憨同學家我還不知道嗎？,angry,1,左正鵬,parent,superior,左正鵬,neutral,33,左正鵬,neutral,26,1,suppressed,3
3,2,左正鵬,我是想去麗華同學家裏一下。,neutral,1,左母,child,inferior,左母,angry,26,左父,neutral,13,1,suppressed,5
3,3,左父,正鵬，你要給她的父母買點禮物啊！在她家裏也不要亂說話，要注意禮貌。,neutral,1,左正鵬,parent,superior,左正鵬,neutral,13,左正鵬,neutral,33,1,suppressed,3
3,4,左正鵬,爸，我會注意的，你放心！,neutral,1,左父,child,inferior,左父,neutral,33,,,12,1,suppressed,4
4,0,左正鵬,伯母、您好，我是你麗華的同學呀！,happiness,1,徐母,son/daughter-in-law,inferior,,,0,徐母,happiness,16,1,suppressed,3
4,1,徐母,小左，快請進，屋裏坐！屋裏坐！我早就聽到閨女講到你的情況，我們歡迎你呀！,happiness,1,左正鵬,parent-in-law,superior,左正鵬,happiness,16,徐母,neutral,36,1,neutral,2
4,2,徐母,老伴，你到代銷店裏去買瓶酒來，什麼“清明露”的都行。快去快回啊！,neutral,1,左正鵬,parent-in-law,superior,徐母,happiness,36,,,32,1,neutral,2
5,0,徐麗華,正鵬，今天我父母說的話你都聽清楚了嗎？現在你應該向我表個明確的態纔好！,neutral,1,左正鵬,friend,peer,,,0,左正鵬,neutral,35,1,suppressed,3
5,1,左正鵬,向你表個什麼明確的態？,neutral,1,徐麗華,friend,peer,徐麗華,neutral,35,徐麗華,angry,11,1,suppressed,3
5,2,徐麗華,正鵬，你還裝朦朧是嗎？你還是不是男子漢？,angry,1,左正鵬,friend,peer,左正鵬,neutral,11,左正鵬,neutral,20,1,suppressed,3
5,3,左正鵬,麗華，“五·四”那天，我們公社開慶祝大會。上午九點前我在公社門前公路邊等你，你不要失約，到時我倆再說吧！,neutral,1,徐麗華,friend,peer,徐麗華,angry,20,徐麗華,disgust,52,1,suppressed,3
5,4,徐麗華,這麼簡單的事情，你爲什麼非得那天回答我？你真是婆婆媽媽的。,disgust,1,左正鵬,friend,peer,左正鵬,neutral,52,左正鵬,neutral,29,1,suppressed,3
5,5,左正鵬,麗華呀！希你對我還要作更進一步地瞭解。切莫感情用事，婚姻問題是自己人生的大問題，一旦處理不好會給自己帶來終生的痛苦！,neutral,1,徐麗華,friend,peer,徐麗華,disgust,29,徐麗華,neutral,58,1,suppressed,3
5,6,徐麗華,正鵬，我父母表示沒意見，我自己也吃下了定心丸。我願意嫁給你。,neutral,1,左正鵬,friend,peer,左正鵬,neutral,58,左正鵬,neutral,30,1,suppressed,3
5,7,左正鵬,麗華，可你還得考慮下我的百分之五十呀！,neutral,1,徐麗華,friend,peer,徐麗華,neutral,30,徐母,surprise,19,1,neutral,2
5,8,徐母,麗華，小左，你倆快回去，你爸爸喝醉了，在家裏鬧酒。酒席早被他掀翻了，現在又在使勁地砸東西，“大鬧天空”。,surprise,2,"左正鵬,徐麗華","parent-in-law,parent",superior,左正鵬,neutral,19,,,52,1,amplified,0
6,0,徐父,是嗎，舊的不爛，新的不會來嘛！我還要繼續砸呢！,angry,3,"左正鵬,徐母,徐麗華","parent-in-law,spouse,parent",superior,,,0,徐父,angry,23,1,neutral,2
6,1,徐父,我怎麼不敢，你別小看我！你認爲我是一般的人嗎？,angry,3,"左正鵬,徐母,徐麗華","parent-in-law,spouse,parent",superior,徐父,angry,23,徐麗華,disgust,23,1,neutral,2
6,2,徐麗華,爸，你在幹什麼呀，你怎麼這樣傻呀，廚屋裏的東西被你砸爛完了，明天媽媽怎麼做炊呢？,disgust,1,徐父,child,inferior,徐父,angry,23,徐父,neutral,40,1,suppressed,5
6,3,徐父,誰說我傻呀，“酒醉聰明人，飯脹癡呆子”，你懂嗎？,neutral,1,徐麗華,parent,superior,徐麗華,disgust,40,左正鵬,surprise,24,1,neutral,2
6,4,左正鵬,伯父，你快到牀上去躺着，休息下啊！,surprise,1,徐父,son/daughter-in-law,inferior,徐父,neutral,24,徐父,happiness,17,1,suppressed,3
6,5,徐父,小左，你還在這裏沒有走？你聽說嗎“酒中無語真君子，財上分明大丈夫”。我不是“真君子”，你是我閨女的“大丈夫”。哈哈！哈哈！大丈夫，“真君子”都是好人嘍。,happiness,1,左正鵬,parent-in-law,superior,左正鵬,surprise,17,徐母,disgust,76,1,neutral,2
6,6,徐母,明天你自己做飯，反正廚屋裏沒有炊具啦！,disgust,1,徐父,spouse,peer,徐父,happiness,76,徐父,neutral,19,1,suppressed,3
6,7,徐父,我還要忠告你們：“做官莫向前，作客莫在後”，這是“增廣賢文”書上說的！你們知道嗎？,neutral,3,"左正鵬,徐母,徐麗華","parent-in-law,spouse,parent",superior,徐母,disgust,19,,,41,1,neutral,1
7,0,左母,正鵬，今天你到那個憨同學家裏，她父母跟你說了些什麼？她自己呢？,surprise,1,左正鵬,parent,superior,,,0,左正鵬,neutral,31,1,neutral,2
7,1,左正鵬,媽，我今天去她家裏只作同學之間的正常往來，誰知道她的父母把我看成和她女兒在談戀愛。她女兒還明確表態要嫁給我，我表態不接受她。我答應她在“五·四”那天再講！,neutral,1,左母,child,inferior,左母,surprise,31,左母,surprise,77,1,suppressed,4
7,2,左母,傻孩子，別人女孩子既然找上門來了，這是求之不得的好,surprise,1,左正鵬,parent,superior,左正鵬,neutral,77,左正鵬,neutral,25,1,neutral,2
7,3,左正鵬,媽，請您彆着急，讓我認真地再考慮下。,neutral,1,左母,child,inferior,左母,surprise,25,,,18,1,suppressed,4
8,0,左父,還考慮什麼，村裏比你還小的後生家都當爸爸了，你還認爲自己還小是嗎？我同意你媽媽的意見，就這麼定下啦！,neutral,1,左正鵬,parent,superior,,,0,徐麗華,surprise,50,1,neutral,2
8,1,徐麗華,正鵬，你來多久啦？真是個青年積極分子！讓你久等了！,surprise,1,左正鵬,friend,peer,左父,neutral,50,左正鵬,neutral,25,1,neutral,2
8,2,左正鵬,麗華，今天我約你來這裏我想好好和你談談。不然的話你真的要後悔！,neutral,1,徐麗華,friend,peer,徐麗華,surprise,25,徐麗華,neutral,31,1,suppressed,3
8,3,徐麗華,我告訴你不後悔就不後悔的！不過你說你自己還有百分之五十嘛，我還是理解你的。這也是你自己的權力吧！,neutral,1,左正鵬,friend,peer,左正鵬,neutral,31,左正鵬,fear,48,1,neutral,2
8,4,左正鵬,麗華，我的百分之五十不是說你不配我，而是我總覺得我自身存在着許多的缺點。害怕結婚後連累你，使你受苦，過不好日子，你明白嗎？,fear,1,徐麗華,friend,peer,徐麗華,neutral,48,徐麗華,surprise,61,1,neutral,2
8,5,徐麗華,正鵬，你就別拐彎抹角啦！你對我倆的事到底是怎麼想的，你直說出來給我聽聽！,surprise,1,左正鵬,friend,peer,左正鵬,fear,61,左正鵬,sadness,36,1,neutral,1
8,6,左正鵬,麗華，“男大當婚，女大當嫁”，這是人間正常的事情。不過我對此有如下想法：第一、現在我倆都還年輕，正是學知識，追求理想和前途的時候，如果過早的將自己的婚姻訂了下來，今後我倆就沒有什麼奔頭了。第二、我家庭條件很差，父母都老了，我的負擔很重，我不願去拖累你呀。第三、去年我在醫院做了“胃穿孔”切除手術。醫生再三囑咐我今後不能乾重體力勞動。如果你嫁給了我，你能過着好日子嗎？第四、我家庭出生不好，我是地主家庭的子弟，而你是貧下中農的子女。從政治條件來看，我是不配你的。黨的政策也有規定：地主子弟是不能和貧下中農子女聯姻的，這在社會上已經形成了共識。這是原則問題呀！麗華，我這些缺點也就是我考慮百分之五十的內容。我如果不說給你聽，你父母是不知道的。到了那時，你父母會責備你的呀！說你是賤骨頭。,sadness,1,徐麗華,friend,peer,徐麗華,surprise,36,左正鵬,sadness,341,1,neutral,2
