dialogue_id,turn_index,speaker,utterance,original_prob,intervention_features,new_prob,prob_reduction,num_features
2406,5,馬全,恩——,0.5577746410320777,turn_index + speakers_in_dialogue + speaker_turn_count,0.39016020775265603,0.16761443327942172,3
2198,1,連輝,假的，還文物呢，這是老六在小地攤上花三塊錢買的。,0.651171600535038,speakers_in_dialogue + speaker_turn_count,0.33352833739063675,0.3176432631444012,2
1145,6,胡永成,先把這些人帶回去審。,0.5344541238883564,turn_index + speakers_in_dialogue + is_first_turn,0.3998478927138907,0.13460623117446574,3
1935,7,張院長,話不能這麼說。你和老王退休後不是還有老郭嘛。讓老郭以副代正，先幹兩年再說。,0.6913813950324359,utterance_len + speakers_in_dialogue + speaker_turn_count,0.4266871423014328,0.2646942527310031,3
5,3,左正鵬,麗華，“五·四”那天，我們公社開慶祝大會。上午九點前我在公社門前公路邊等你，你不要失約，到時我倆再說吧！,0.671800815283601,utterance_len + speakers_in_dialogue,0.36412710955578026,0.30767370572782077,2
2998,12,天強,爸爸是我害死的，我應該償命。,0.5360752054999673,turn_index + speakers_in_dialogue,0.44289072515696504,0.09318448034300231,2
4024,1,通信員,大娘，我來通知您，您有一筆匯款，在鎮政府，您去取一下。,0.6380712243535336,utterance_len + speakers_in_dialogue,0.4083588222787381,0.22971240207479549,2
2316,0,楊雪,你別喝了。,0.5005656666402718,utterance_len + speaker_turn_count,0.3761024563749675,0.12446321026530432,2
1801,2,何志揚,別瞎說。能和劉言鳳那個漂亮能幹，又是老闆的女人在一起，我開心還來不及，又怎麼會痛和苦？,0.630429493712816,utterance_len + speakers_in_dialogue + speaker_turn_count,0.3889232164868346,0.2415062772259814,3
796,2,宋喬,我能不哭嘛我？小愛都不記得我了都。,0.5103768728270793,utterance_len + speakers_in_dialogue + speaker_turn_count,0.41392321648683444,0.09645365634024489,3
2911,5,連輝,我當時也沒考慮那麼多——我……,0.5239524339259395,utterance_len + speakers_in_dialogue,0.3564580880887808,0.16749434583715866,2
1494,3,古芳,她一定還沒關店吧！唉！她呀把鈔票看得太緊嘍！,0.5090930659759871,turn_index + utterance_len,0.38638071863291706,0.12271234734307007,2
149,6,楊偉,爸，你早來一步難道就能取消我預備黨員的資格嗎？這是全體黨員同意的，最後是支部委員會表態決定的，你能奈何得了？再說，這是組織上的事，與我們家庭無關，請你就少操這份,0.7052017538865214,turn_index + speaker_turn_count,0.4380521334099746,0.2671496204765468,2
281,9,左正鵬,親家母，20年前，你們母女倆遊覽過長城八達嶺嗎？,0.5495772356086926,turn_index + utterance_len,0.3868078467558707,0.16276938885282194,2
433,3,張愛,爸你聽我說。,0.5682802912326763,utterance_len + speakers_in_dialogue,0.3874428638162244,0.18083742741645192,2
110,0,魯媛,師弟——再見了——勿忘我……我們還能見面嗎？,0.5129033062749434,utterance_len + speakers_in_dialogue,0.2687519140375696,0.2441513922373738,2
1474,9,王若蝶,鄺大哥，對不起啊！我的手也不知道怎麼就抖了起來。,0.5951476969557643,turn_index + speakers_in_dialogue,0.3385058082619472,0.2566418886938171,2
1537,6,鄺野,這雨不會停！,0.5064070487905774,turn_index + speakers_in_dialogue,0.37641953976999754,0.12998750902057987,2
3537,1,韓長林,這次回來我還到高麗壩去看了一下，全變了，找不出當年的樣子了。,0.6495544453216324,utterance_len + speakers_in_dialogue,0.39865741627406814,0.2508970290475643,2
3309,3,亞琳,去唄，正好，咱們還有個伴兒。不過，可別讓他撬了咱們的行。,0.6420149246147957,utterance_len + speakers_in_dialogue + speaker_turn_count,0.42387982522378675,0.21813509939100895,3
10781,0,Speaker_1,"What's special for today ? "" ' Sweet and sour pro chops , Madam . '
 "" We'll hav",0.9831334910818549,word_count + speaker_turn_count,0.4271041272754581,0.5560293638063968,2
3000,4,周林,做夢畢竟都是假的，我們還是要面對現實。,0.5991962269253527,turn_index + speakers_in_dialogue,0.42670892179465997,0.17248730513069271,2
1222,3,劉輝,不知道！,0.5655492470212252,turn_index + speakers_in_dialogue,0.3841338858965047,0.1814153611247205,2
1656,10,蔡麗芸,我以爲你會拒絕。,0.5095429830365057,turn_index + speakers_in_dialogue,0.3644925659055563,0.1450504171309494,2
229,1,左父,沒大礙，只覺得頭有點暈，並且脹疼得很。,0.5412121433498426,speakers_in_dialogue + is_first_turn,0.3137406679644939,0.22747147538534868,2
1663,2,蔡宇楓,那、你以後有什麼打算？你收拾行李是要離開這裏了嗎？我以後還能、還能再見到你嗎？,0.6281538302232768,utterance_len + speakers_in_dialogue + speaker_turn_count,0.3889232164868346,0.23923061373644217,3
1447,1,何志靜,我有點不舒服。唉！怎麼回事？我發覺自己真的是不舒服了。不是身體不舒服，而是心裏不舒服。,0.673134722496879,turn_index + speakers_in_dialogue,0.3875173595806086,0.2856173629162704,2
2807,0,警察,你涉嫌經濟詐騙，請跟我們回公安局協助調查。,0.5400784200176842,speakers_in_dialogue + speaker_turn_count,0.39015515438991366,0.14992326562777059,2
1761,4,蔡麗芸,隨你吧！想必你很清楚這裏是什麼樣的酒店，也知道每天接待的是些什麼樣的客人了吧！所以我希望你投入全部的精力好好工作。我這個人只會看工作成績和工作態度，至於其他的情,0.7230905764687288,utterance_len + speakers_in_dialogue,0.37850568520673133,0.34458489126199743,2
12,5,左正鵬,這是哪個時代人說的話，你可知道嗎？現在我們是社會主義社會了，人人要講奉獻，大家要關心集體，熱愛集體，生產隊就是我們的大家庭，我們只是大家庭中的一分子。,0.7054091580944063,utterance_len + speakers_in_dialogue,0.36710341568163984,0.33830574241276645,2
1540,16,柯婕妤,我不去。志靜，你也不要去了。你看爸不停地換着坐姿，顯然是在陌生的屋子裏很不習慣。你留下來陪陪他吧。,0.61203780692526,utterance_len + speakers_in_dialogue + is_early_turn,0.4335622665642064,0.17847554036105362,3
3667,0,白主任,怎麼不是馬軍？她就那一個孩子嘛。,0.5180381432834481,utterance_len + speaker_turn_count,0.3884293161224429,0.1296088271610052,2
1634,3,秦延,爲什麼對他有了興趣？,0.5247480148737946,utterance_len + speakers_in_dialogue + speaker_turn_count,0.3874428638162242,0.1373051510575704,3
2149,7,冬曉麗,他那人，別的本事沒有，別的愛好也沒有，每天就是琢磨着整人，每天就是以整人爲樂。十足一個慼慼之輩。,0.6563578019834189,turn_index + utterance_len,0.3924428638162244,0.26391493816719447,2
2211,1,張華,我覺得連輝不是那種不懂事的人，咱們也別瞎琢磨。,0.5971977391780967,utterance_len + speakers_in_dialogue,0.4007141952573505,0.19648354392074618,2
1576,7,柯婕妤,我想這個夢魘會終身纏繞着我！,0.5221201104440482,turn_index + speakers_in_dialogue,0.4209812197324594,0.10113889071158877,2
1933,0,冬曉麗,你現在可真是大忙人了。剛到辦公室就忙得顧頭不顧腳了。,0.5903022729287436,utterance_len + speaker_turn_count,0.2690603821688899,0.3212418907598537,2
1634,4,何志揚,不是興趣是好奇！他給我的感覺有點讓人捉摸不透！,0.6214748658886053,turn_index + speakers_in_dialogue,0.40437331452380426,0.21710155136480108,2
1967,2,冬曉麗,你看你剛剛寫了一篇關於美國石油生產成本方面的文章，咱們處就上報了一個美國石油生產成本分析方面的立項研究項目。我剛從科技處回來，他們已經批了這個研究項目了。,0.6483644798050001,utterance_len + speakers_in_dialogue + speaker_turn_count,0.3431939827534606,0.30517049705153954,3
2460,3,楊雪,——合同的事你就別想了，我已經給你解決了。,0.6120937442663991,turn_index + speakers_in_dialogue,0.40532345867483405,0.20677028559156502,2
1714,13,柯婕妤,我只是打個比喻而已。,0.5576976270530654,turn_index + speakers_in_dialogue,0.42923284802821293,0.12846477902485243,2
